bf16_ratio,seq_32,seq_64,seq_128,seq_256,seq_512,seq_1024
0.0,0.5814911842346191,0.6937007904052734,0.7659152030944825,0.7797776222229004,0.8142704010009766,0.9273407936096192
0.0625,0.7460031986236573,0.8413871765136719,0.8675248146057128,0.8776368141174317,0.9384287834167481,1.0652928352355957
0.125,0.8283552169799805,0.954428768157959,0.9661696434020997,0.9767248153686523,1.040287971496582,1.2020095825195312
0.25,0.9989263534545898,1.1160415649414062,1.1554623603820802,1.1484880447387695,1.20590238571167,1.4326416015625
0.5,1.3535823822021484,1.4804096221923828,1.452558422088623,1.5187007904052734,1.5929360389709473,1.848192024230957
1,1.7226608276367188,2.0376943588256835,2.0618640899658205,2.0867120742797853,2.204751968383789,2.4353151321411133
